2022-01-29T17:55:10.7602731+05:30  [INF] Now listening on: "https://localhost:5001" (d826f4b8)
2022-01-29T17:55:10.7872946+05:30  [INF] Now listening on: "http://localhost:5000" (d826f4b8)
2022-01-29T17:55:10.7877197+05:30  [INF] Application started. Press Ctrl+C to shut down. (dcaefe54)
2022-01-29T17:55:10.7877686+05:30  [INF] Hosting environment: "Development" (c3307c92)
2022-01-29T17:55:10.7878025+05:30  [INF] Content root path: "C:\Users\NagaRam\source\repos\VedicHoroo" (b5d60022)
2022-01-29T17:55:32.5306765+05:30 0HMF349IDFBGU:00000001 [INF] Request starting HTTP/2 GET https://localhost:5001/weatherforecast - - (ca22a1cb)
2022-01-29T17:55:33.7750090+05:30 0HMF349IDFBGU:00000001 [INF] Request finished HTTP/2 GET https://localhost:5001/weatherforecast - - - 404 0 - 1179.7139ms (791a596a)
2022-01-29T17:55:59.6011428+05:30 0HMF349IDFBH0:00000002 [INF] Request starting HTTP/1.1 GET https://localhost:5001/api/GetAllReports - - (ca22a1cb)
2022-01-29T17:55:59.7082542+05:30 0HMF349IDFBH0:00000002 [INF] Executing endpoint '"MyyPub.VedicHorro.VedicHorooController.GetAllReports (MyyPub.VedicHoroo)"' (500cc934)
2022-01-29T17:56:33.8047622+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:33.8060313+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:33.8071677+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:33.8071566+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:33.8082137+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:33.8083355+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:33.8112571+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:33.8114621+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:33.8119693+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:33.8119543+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:33.8151283+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:33.8150455+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:33.8210072+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:33.8210378+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:33.8220518+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:33.8220648+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:33.8272920+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:33.8273845+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:33.8665905+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:33.8679329+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:33.8683210+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:33.8686707+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:33.8689997+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:33.8692927+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:33.8697912+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:37.2741907+05:30 0HMF349IDFBH0:00000003 [INF] CalcVim (46cbac61)
2022-01-29T17:56:37.4005407+05:30 0HMF349IDFBH0:00000003 [INF] GetDashTransEx (254b7e02)
2022-01-29T17:56:37.6170810+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:37.6406560+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:37.6626849+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:37.6779791+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:37.6916698+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:37.7063777+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:37.7232793+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:37.7457829+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:37.7638531+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:37.7838298+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:37.8040849+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:37.8313189+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:37.8628986+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:37.8808079+05:30 0HMF349IDFBH0:00000003 [INF] CalcDivChart (f67591a3)
2022-01-29T17:56:38.0334335+05:30 0HMF349IDFBH0:00000003 [INF] GetYogas-8|12|1977 (c2061cd6)
2022-01-29T17:56:38.1834741+05:30 0HMF349IDFBH0:00000003 [INF] GetDoshasEx (ca7ee4af)
2022-01-29T17:56:38.2480299+05:30 0HMF349IDFBH0:00000003 [INF] GetAspects (ed37f986)
