2021-11-10T23:56:29.7411339+05:30  [INF] Now listening on: "https://localhost:5001" (d826f4b8)
2021-11-10T23:56:29.7537856+05:30  [INF] Now listening on: "http://localhost:5000" (d826f4b8)
2021-11-10T23:56:29.7544258+05:30  [INF] Application started. Press Ctrl+C to shut down. (dcaefe54)
2021-11-10T23:56:29.7544920+05:30  [INF] Hosting environment: "Development" (c3307c92)
2021-11-10T23:56:29.7545281+05:30  [INF] Content root path: "C:\Users\NagaRam\source\repos\VedicHoroo" (b5d60022)
2021-11-10T23:56:55.2980071+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:56:55.3003715+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:56:55.3010285+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:56:55.3117213+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:56:55.3341733+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:56:55.3371472+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:56:55.3382107+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:56:55.3388554+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:56:55.3394150+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:56:55.3400265+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:56:55.3406460+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:57:20.0716845+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcVim (46cbac61)
2021-11-10T23:57:20.4781576+05:30 0HMD4EUEPA1LO:00000002 [INF] GetDashTransEx (254b7e02)
2021-11-10T23:57:27.6527353+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:57:27.6841050+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:57:27.7079186+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:57:27.7286502+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:57:27.7489243+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:57:27.7706145+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:57:27.8068751+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:57:27.8277668+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:57:27.8579358+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:57:27.8828267+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:57:27.9015253+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:57:27.9286571+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:57:27.9555267+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:57:27.9750283+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:57:28.2079204+05:30 0HMD4EUEPA1LO:00000002 [INF] GetYogas-6|8|1978 (005cc6d5)
